,food_name,calories_kcal,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_g,carbohydrates_g,fiber_g,sugar_g,protein_g,vitamin_A_mg,vitamin_C_mg,calcium_mg
328,hoisin sauce,35,0.5,0.036,0.5,0.3,7.1,0.4,4.4,0.5,0.0,0.097,5.1
329,pickle relish,20,0.061,0.093,0.0,0.1,5.3,0.2,4.4,0.097,0.0,0.2,0.5
330,tomato sauce with herbs cheese,144,4.7,1.5,7.3,1.3,25.0,5.4,0.0,5.2,0.0,24.4,90.3
331,french dressing,73,7.2,0.9,0.0,0.1,2.5,0.0,2.6,0.1,0.0,0.6,3.8
332,mayonnaise hellmanns,15,1.7,0.9,0.0,0.0,0.087,0.0,0.2,0.0,0.0,0.0,0.0
333,canadian maple syrup,76,0.0,0.0,0.0,0.086,19.1,0.0,17.0,0.0,0.0,0.0,30.8
334,maple syrup,52,0.047,0.036,0.0,0.059,13.4,0.0,13.6,0.09,0.0,0.0,20.4
335,barbecue sauce bulls eye,27,0.1,0.028,0.0,0.2,6.4,0.2,5.6,0.1,0.0,0.094,6.9
336,ranch dressing,65,6.7,1.0,3.9,0.1,0.9,0.0,0.7,0.2,0.067,0.093,0.024
337,tomato ketchup mp,15,0.0,4.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
338,mayonnaise light,36,3.3,0.5,2.4,0.1,1.4,0.0,0.5,0.032,0.003,0.09,0.05
339,mayonnaise dressing,103,11.7,1.6,0.0,0.081,0.066,0.0,0.093,0.0,0.0,0.0,1.1
340,malt syrup,67,0.0,0.0,0.0,0.05,15.0,0.0,15.0,1.3,0.0,0.0,12.8
341,gravy dry,86,2.0,0.7,1.0,1.4,14.5,0.0,0.0,3.3,0.0,1.8,37.5
342,cranberry orange relish,490,0.3,0.06,0.0,0.063,127.1,0.0,0.0,0.8,0.0,49.5,30.3
343,caesar dressing,80,8.5,1.3,5.7,0.2,0.5,0.036,0.4,0.3,0.092,0.057,7.1
344,italian dressing,35,3.1,0.4,0.0,0.1,1.8,0.0,1.6,0.032,0.083,0.011,0.059
345,brown gravy instant,25,0.8,0.4,0.8,0.3,4.0,0.2,0.6,0.6,0.0,0.1,7.8
346,roquefort cheese dressing,15,1.1,0.4,0.2,0.1,0.4,0.0,0.4,0.8,0.0,0.069,13.4
347,blue cheese dressing,71,7.7,1.2,4.7,0.2,0.7,0.045,0.5,0.2,0.048,0.1,5.6
348,duck sauce,80,0.063,0.033,0.0,0.1,19.7,0.2,9.9,0.1,0.0,0.3,3.6
349,au jus,38,0.5,0.2,0.0,1.1,5.9,0.0,0.0,2.8,0.0,2.4,9.4
350,corn syrup dark,57,0.0,0.0,0.0,0.047,15.5,0.0,15.5,0.0,0.0,0.0,3.6
351,buttermilk dressing light,30,1.9,0.2,2.4,0.2,3.2,0.2,0.6,0.2,0.023,0.061,6.0
